name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed,height_value,height_unit,height,Inversions_clean,Gforce_clean,speed_kmh
scream (roller coaster),"3,985 ft (1,215 m)",63 mph (101 km/h),six flags magic mountain,operating,"april 12, 2003",steel,bolliger & mabillard,54 in (137 cm),floorless coaster,150 ft (46 m),7.0,chain lift hill,$10 million,3 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,screampunk district,3:00,"1,440 riders per hour",4[1],werner stengel,90°,141 ft (43 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2003,34.4286,-118.5983,steel,2003-04-12,63 mph,101 km/h,63.0,mph,63.0,150.0,ft,91.2,7,4.0,101.38842
chang (roller coaster),"4,155 ft (1,266 m)",63 mph (101 km/h),other,operating,1972,steel – stand-up,bolliger & mabillard,54 in (137 cm),stand-up coaster,154 ft (47 m),5.0,chain lift hill,"$12,000,000",2 trains with 7 cars. riders are arranged 4 across in a single row for a total of 28 riders per train.,boardwalk,2:30,"1,556 riders per hour",4,werner stengel,45°,144 ft (44 m),"may 19, 2011",fast lane available,great american scream machine,twister,fastrack available,"may 19, 2011","september 19, 2009",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1997,40.2898,-76.6536,steel,1999-01-01,63 mph,101 km/h,63.0,mph,63.0,154.0,ft,91.2,5,4.0,101.38842
jubilee odyssey,"2,924 ft (891 m)",63 mph (101 km/h),fantasy island (uk amusement park),operating,23 may 2002,steel – inverted,vekoma,51 in (130 cm),slc (custom),167 ft (51 m),5.0,chain lift hill,£28 million,10 cars. riders are arranged 2 across in a single row for a total of 20 riders per train.,planet snoopy,2:52,350 riders per hour,4.8,werner stengel,75°,141 ft (43 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2002,53.1922,0.3461,steel,2002-05-23,63 mph,101 km/h,63.0,mph,63.0,167.0,ft,91.2,5,4.8,101.38842
green lantern (six flags great adventure),"4,155 ft (1,266 m)",63 mph (101 km/h),other,operating,1972,steel – stand-up,bolliger & mabillard,54 in (137 cm),stand-up coaster,154 ft (47 m),5.0,chain lift hill,"$12,000,000",2 trains with 7 cars. riders are arranged 4 across in a single row for a total of 28 riders per train.,boardwalk,2:30,"1,556 riders per hour",4,werner stengel,45°,144 ft (44 m),"may 19, 2011",fast lane available,great american scream machine,twister,fastrack available,"may 19, 2011","september 19, 2009",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1997,40.2898,-76.6536,steel,1999-01-01,63 mph,101 km/h,63.0,mph,63.0,154.0,ft,91.2,5,4.0,101.38842
tennessee tornado,"2,682 ft (817 m)",63 mph (101 km/h),dollywood,operating,"april 17, 1999; 22 years ago",steel,arrow dynamics,48 in (122 cm),custom looping,163 ft (50 m),3.0,chain lift hill,"$8,000,000 usd($12.4 million in 2020 dollars[1])",2 trains with 7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,craftsmen's valley,1:48,"1,360 riders per hour",3.7,alan schilke,90°,128 ft (39 m),"april 29, 2005",fast lane available,thunder express,terrain,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1999,35.793,-83.5279,steel,1999-04-17,63 mph,101 km/h,63.0,mph,63.0,163.0,ft,91.2,3,3.7,101.38842
pulsar (roller coaster),217 m (712 ft),101 km/h (63 mph),walibi belgium,operating,4 june 2016,steel – launched – shuttle,mack rides,48 in (122 cm),powersplash,45 m (148 ft),0.0,lsm launch,"€8,500,000",2 trains with a single car. riders are arranged 4 across in 5 rows for a total of 20 riders per train.,planet snoopy,1:18,950 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2016,50.6988,4.5903,steel,2016-06-04,101 km/h,63 mph,101.0,km/h,62.8,45.0,m,147.6,0,4.0,101.066552
oblivion: the black hole,"1,856.9 ft (566.0 m)",62.2 mph (100.1 km/h),gardaland,operating,"march 28, 2015",steel – dive coaster,bolliger & mabillard,140–195 cm (4 ft 7 in–6 ft 5 in),dive coaster,139.4 ft (42.5 m),2.0,chain lift hill,$10 million,3 trains with 3 cars. riders are arranged 6 across in a single row for a total of 18 riders per train.,space section,1:30,1890 riders per hour,4,werner stengel,87°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2015,45.4582,10.7111,steel,2015-03-28,62.2 mph,100.1 km/h,62.2,mph,62.2,139.4,ft,91.2,2,4.0,100.100948
helix (roller coaster),"1,381 m (4,531 ft)",100 km/h (62 mph),liseberg,operating,26 april 2014,steel – launched,mack rides,51 in (130 cm),boomerang,41 m (135 ft),7.0,2 linear motors,"approx. 239,000,000 sek",3 trains with 5 cars. riders are arranged 2 across in 2 rows for a total of 20 riders per train.,planet snoopy,2:10,"1,350 riders per hour",4.3 g,ing.-büro stengel gmbh,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2014,57.6953,11.9908,steel,2014-04-26,100 km/h,62 mph,100.0,km/h,62.1,41.0,m,134.5,7,4.3,99.940014
pitts special (roller coaster),"693 m (2,274 ft)",100 km/h (62 mph),powerpark,operating,"june 24, 2020",steel,gerstlauer,130 cm (4 ft 3 in),infinity coaster,43.5 m (143 ft),0.0,vertical chain lift hill,$10 million,single train with 2 cars. riders are arranged 4 across in a single row for a total of 8 riders per train.,planet snoopy,1:30,1200 riders per hour,4.5,werner stengel,85°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2020,63.2307,22.8545,steel,2020-06-24,100 km/h,62 mph,100.0,km/h,62.1,43.5,m,142.7,0,4.5,99.940014
flug der dämonen,"772 m (2,533 ft)",100 km/h (62 mph),heide park resort,operating,"march 29, 2014",steel – wing coaster,bolliger & mabillard,140–195 cm (4 ft 7 in–6 ft 5 in),wing coaster,40 m (130 ft),5.0,chain lift hill,"€15,000,000 ($usd19.9 million)",2 trains with 6 cars. riders are arranged 4 across in a single row for a total of 24 riders per train.,transsilvanien,0:52 minutes,1060 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,wildwasserbahn ii,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2014,53.0262,9.8796,steel,2014-03-29,100 km/h,62 mph,100.0,km/h,62.1,40.0,m,131.2,5,4.0,99.940014
aquaman: power wave,708.7 ft (216.0 m),62.1 mph (99.9 km/h),six flags over texas,under construction,2022[1],steel – shuttle – launched,mack rides,48 in (122 cm),boomerang,146.3 ft (44.6 m),0.0,lsm launch,$10 million,2 trains with a single car. riders are arranged 4 across in 5 rows for a total of 20 riders per train.,usa,1:30,731 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,aquaman splashdown,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2022,32.756,-97.071,steel,2022-01-01,62.1 mph,99.9 km/h,62.1,mph,62.1,146.3,ft,91.2,0,4.0,99.940014
superman: la atracción de acero,"3,608.9 ft (1,100.0 m)",62.1 mph (99.9 km/h),parque warner madrid,operating,6 april 2002; 19 years ago,steel – floorless coaster,bolliger & mabillard,52 in (132 cm),floorless coaster,164.1 ft (50.0 m),7.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,2:26,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2002,40.2277,-3.5906,steel,2002-04-06,62.1 mph,99.9 km/h,62.1,mph,62.1,164.1,ft,91.2,7,4.0,99.940014
superman escape,"760 m (2,490 ft)",100 km/h (62 mph),warner bros. movie world,operating,26 december 2005,steel – launched,intamin,140 cm (4 ft 7 in),accelerator coaster,40 m (130 ft),0.0,hydraulic launch,"a$16,000,000",2 trains with 5 cars. riders are arranged 2 across in 2 rows for a total of 20 riders per train.,planet snoopy,1:40,820 riders per hour,4.2 & -1,werner stengel,90°,40 m (130 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,custom,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 100 km/h (0 to 62 mph) in 2 seconds,single lap bar,das große lego-rennen,2005,-27.908,153.3125,steel,2005-12-26,100 km/h,62 mph,100.0,km/h,62.1,40.0,m,131.2,0,4.2,99.940014
tmnt shellraiser,"3,280.8 ft (1,000.0 m)",62.1 mph (99.9 km/h),nickelodeon universe,operating,"october 25, 2019; 2 years ago",steel – launched – euro-fighter,gerstlauer,48 in (122 cm),1000,141 ft (43 m),7.0,"linear motor launch, chain lift hill",$10 million,6 trains with a single car. riders are arranged 4 across in 2 rows for a total of 8 riders per train.,planet snoopy,1:30,1200 riders per hour,4,werner stengel,121.5°,138 ft (42 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 62.1 mph (0 to 100 km/h) in 2 seconds,single lap bar,das große lego-rennen,2019,40.8066,-74.0712,steel,2019-10-25,62.1 mph,99.9 km/h,62.1,mph,62.1,141.0,ft,91.2,7,4.0,99.940014
abyssus,"4,317.6 ft (1,316.0 m)",62.1 mph (99.9 km/h),energylandia,operating,"july 14, 2021",steel – launched,vekoma,120 cm (3 ft 11 in),shockwave 1320m+,126.3 ft (38.5 m),4.0,lsm,"€11,000,000",3 trains with 4 cars. riders are arranged 2 across in 2 rows for a total of 16 riders per train.,aqualantis,1:30,1000 riders per hour,4.5,benjamin bloemendaal,90°,100 ft (30 m),"july 10, 2021",fast lane available,mine train through nature's wonderland,twister,fastrack available,"july 10, 2021","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2021,49.9992,19.4011,steel,2021-07-14,62.1 mph,99.9 km/h,62.1,mph,62.1,126.3,ft,91.2,4,4.5,99.940014
escape of novgorod,"700 m (2,300 ft)",100 km/h (62 mph),hansa-park,operating,"april 9, 2009",steel – launched – euro-fighter,gerstlauer,48 in (122 cm),boomerang,40 m (130 ft),1.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:30,900 riders per hour,4.3 g,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2009,54.0744,10.7814,steel,2009-04-09,100 km/h,62 mph,100.0,km/h,62.1,40.0,m,131.2,1,4.3,99.940014
sierra tonante,"3,280.8 ft (1,000.0 m)",62.1 mph (99.9 km/h),mirabilandia,removed,1992,wood,s.d.c.,48 in (122 cm),boomerang,114.8 ft (35.0 m),0.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:30 min,1200 riders per hour,4,william cobbwerner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005",2007,1895,ispeed,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1992,44.3361,12.2619,wood,1992-01-01,62.1 mph,99.9 km/h,62.1,mph,62.1,114.8,ft,91.2,0,4.0,99.940014
wodan timbur coaster,"3,444 ft (1,050 m)",62.1 mph (99.9 km/h),europa-park,operating,31 march 2012,wood,great coasters international,120 cm (3 ft 11 in),boomerang,131 ft (40 m),0.0,chain lift hill,"€ 10,000,000",3 trains with 12 cars. riders are arranged 2 across in a single row for a total of 24 riders per train.,iceland,3:25,1250 riders per hour,3.5 g,werner stengel,52°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,lap bar,das große lego-rennen,2012,48.2614,7.7192,wood,2012-03-31,62.1 mph,99.9 km/h,62.1,mph,62.1,131.0,ft,91.2,0,3.5,99.940014
pyrenees (roller coaster),"1,234 m (4,049 ft)",100 km/h (62 mph),parque espana-shima spain village,operating,1997,steel – inverted,bolliger & mabillard,130 cm (4 ft 3 in),inverted coaster,45 m (148 ft),6.0,chain lift hill,$10 million,8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,planet snoopy,1:53,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1997,34.3598,136.845,steel,1997-01-01,100 km/h,62 mph,100.0,km/h,62.1,45.0,m,147.6,6,4.0,99.940014
takabisha,"1,000 m (3,300 ft)",100 km/h (62 mph),fuji-q highland,operating,16 july 2011,steel – launched – euro-fighter,gerstlauer,125 cm (4 ft 1 in),1000,43 m (141 ft),7.0,"linear motor launch, chain lift hill",$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,2:40,1200 riders per hour,4,werner stengel,121°,42 m (138 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 100 km/h (0 to 62 mph) in 2 seconds,single lap bar,das große lego-rennen,2011,35.4853,138.78,steel,2011-07-16,100 km/h,62 mph,100.0,km/h,62.1,43.0,m,141.1,7,4.0,99.940014
dynamite (freizeitpark plohn),"500 m (1,600 ft)",100 km/h (62 mph),freizeitpark plohn,operating,"may 18, 2019",steel,mack rides,48 in (122 cm),bigdipper,44 m (144 ft),3.0,lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:08 min,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2019,40.2898,-76.6536,steel,2019-05-18,100 km/h,62 mph,100.0,km/h,62.1,44.0,m,144.4,3,4.0,99.940014
electric eel (roller coaster),863 ft (263 m),62 mph (100 km/h),seaworld san diego,operating,"may 10, 2018",steel – launched,premier rides,54 in (137 cm),sky rocket ii,150 ft (46 m),1.0,lsm launch,$10 million,single train with 3 cars. riders are arranged 2 across in 3 rows for a total of 18 riders per train.,planet snoopy,0:45,720 riders per hour,4,werner stengel,90°,135 ft (41 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official site,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2018,32.765,-117.224,steel,2018-05-10,62 mph,100 km/h,62.0,mph,62.0,150.0,ft,91.2,1,4.0,99.77908
tigris (roller coaster),863 ft (263 m),62 mph (100 km/h),busch gardens tampa,operating,"april 19, 2019",steel – launched,premier rides,54 in (137 cm),sky rocket ii,150 ft (46 m),1.0,lsm launch,$10 million,single train with 3 cars. riders are arranged 2 across in 3 rows for a total of 18 riders per train.,stanleyville,1:30,1200 riders per hour,4,werner stengel,90°,135 ft (41 m),"april 16, 2019",fast lane available,tanganyika tidal wave,twister,fastrack available,"april 16, 2019","september 16, 2007",1895,the joker,official site,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2019,28.0379,-82.4249,steel,2019-04-19,62 mph,100 km/h,62.0,mph,62.0,150.0,ft,91.2,1,4.0,99.77908
blue fire,"3,464.6 ft (1,056.0 m)",62 mph (100 km/h),europa-park,operating,"april 4, 2009",steel – launched,mack rides,51 in (130 cm),launched full-circuit dark ride / roller coaster,124 ft (38 m),4.0,lsm launch,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,iceland,2:20 [1],"1,450 [1] riders per hour",3.8,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 62.1 mph in 2.5 seconds,single lap bar,das große lego-rennen,2009,48.2624,7.7185,steel,2009-04-04,62 mph,100 km/h,62.0,mph,62.0,124.0,ft,91.2,4,3.8,99.77908
afterburn (roller coaster),"2,956 ft (901 m)",62 mph (100 km/h),carowinds,operating,"march 20, 1999",steel – inverted,bolliger & mabillard,54 in (137 cm),inverted coaster – custom,113 ft (34 m),6.0,chain lift hill,us$10.5 million,2 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,crossroads,2:47,1380 riders per hour,4,ing.-büro stengel gmbh,90°,100 ft (30 m),"march 16, 1999",fast lane available,wild bull,twister,fastrack available,"march 16, 1999","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2009,35.1003,-80.9409,steel,1999-03-20,62 mph,100 km/h,62.0,mph,62.0,113.0,ft,91.2,6,4.0,99.77908
afterburn (roller coaster),"2,956 ft (901 m)",62 mph (100 km/h),carowinds,operating,"march 20, 1999",steel – inverted,bolliger & mabillard,54 in (137 cm),inverted coaster – custom,113 ft (34 m),6.0,chain lift hill,us$10.5 million,2 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,crossroads,2:47,1380 riders per hour,4,ing.-büro stengel gmbh,90°,100 ft (30 m),"march 16, 1999",fast lane available,wild bull,twister,fastrack available,"march 16, 1999","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1999,35.1003,-80.9409,steel,1999-03-20,62 mph,100 km/h,62.0,mph,62.0,113.0,ft,91.2,6,4.0,99.77908
superman: ultimate flight (six flags discovery kingdom),863 ft (263 m),62 mph (100 km/h),six flags discovery kingdom,operating,"june 30, 2012[1]",steel – launched,premier rides,52 in (132 cm),sky rocket ii,150 ft (46 m),1.0,lsm,"$6,000,000 usd[2]",single train with 2 cars. riders are arranged 2 across in 3 rows for a total of 12 riders per train.,dc universe,45 seconds,1200 riders per hour,4,werner stengel,90°,135 ft (41 m),"june 29, 2012",fast lane available,pandemonium,twister,fastrack available,"june 29, 2012","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2012,38.1386,-122.231,steel,2012-06-30,62 mph,100 km/h,62.0,mph,62.0,150.0,ft,91.2,1,4.0,99.77908
tempesto,863 ft (263 m),62 mph (100 km/h),busch gardens williamsburg,operating,"april 25, 2015",steel – launched,premier rides,54 in (137 cm),sky rocket ii,150 ft (46 m),1.0,lsm launch track,$10 million,single train with 3 cars. riders are arranged 2 across in 3 rows for a total of 18 riders per train.,festa italia,1:30,1200 riders per hour,4,werner stengel,90°,135 ft (41 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2015,37.2347,-76.6421,steel,2015-04-25,62 mph,100 km/h,62.0,mph,62.0,150.0,ft,91.2,1,4.0,99.77908
the flying dinosaur,"3,687.7 ft (1,124.0 m)",62 mph (100 km/h),universal studios japan,operating,"march 18, 2016",steel – flying,bolliger & mabillard,52–78 in (132–198 cm),flying coaster - custom,151 ft (46 m),5.0,chain lift hill,"jpy$10,000,000,000",4 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,planet snoopy,1:30,1200 riders per hour,4,werner stengel,90°,124 ft (38 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2016,34.6634,135.4305,steel,2016-03-18,62 mph,100 km/h,62.0,mph,62.0,151.0,ft,91.2,5,4.0,99.77908
tatsu,"3,602 ft (1,098 m)",62 mph (100 km/h),six flags magic mountain,operating,"may 13, 2006",steel – flying,bolliger & mabillard,54 in (137 cm),flying coaster,170 ft (52 m),4.0,chain lift,"us$21,000,000",3 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,samurai summit,2:00,"1,600 riders per hour",4,werner stengel,90°,111 ft (34 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,terrain,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2006,34.4219,-118.5975,steel,2006-05-13,62 mph,100 km/h,62.0,mph,62.0,170.0,ft,91.2,4,4.0,99.77908
screamin' eagle,"3,872 ft (1,180 m)",62 mph (100 km/h),six flags st. louis,operating,"april 10, 1976; 45 years ago",wood,philadelphia toboggan coasters,42 in (107 cm),boomerang,110 ft (34 m),0.0,chain lift hill,"$3,000,000 (1976)",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,illinois,2:30,1200 riders per hour,4,john c. allen,90°,92 ft (28 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1976,38.5164,-90.6761,wood,1976-04-10,62 mph,100 km/h,62.0,mph,62.0,110.0,ft,91.2,0,4.0,99.77908
wood coaster (mountain flyer),"4,817 ft (1,468 m)",61.2 mph (98.5 km/h),oct east,operating,"july 19, 2011",wood – terrain,great coasters international,48 in (122 cm),boomerang,147 ft (45 m),0.0,chain lift hill,"90,000,000 rmb",2 trains with 12 cars. riders are arranged 2 across in a single row for a total of 24 riders per train.,planet snoopy,1:30,950 riders per hour,4,werner stengel,90°,131 ft (40 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2011,22.6145,114.2968,wood,2011-07-19,61.2 mph,98.5 km/h,61.2,mph,61.2,147.0,ft,91.2,0,4.0,98.491608
rita (roller coaster),"640 m (2,100 ft)",98.3 km/h (61.1 mph),alton towers,operating,1 april 2005,steel – launched,intamin,140–195[2] cm (4 ft 7 in–6 ft 5 in),accelerator coaster,18.4 m (60 ft),0.0,hydraulic launch,"£8,000,000",2 trains with 5 cars. riders are arranged 2 across in 2 rows for a total of 20 riders per train.,dark forest,0:25,1150[1] riders per hour,4.7,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,boneshaker,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 98.3 km/h (0 to 61 mph) in 2.5 seconds,single lap bar,das große lego-rennen,2005,52.985,-1.8905,steel,2005-04-01,98.3 km/h,61.1 mph,98.3,km/h,61.1,18.4,m,60.4,0,4.7,98.330674
